fp-zhu_closed bms1.dat 40 0.31 0.31 0.00 14187325 2691234 760 29489
eclat-borgelt_all bms2.dat 20 6.84 6.79 0.04 104762506 6022578 1404 1268130
fp-zhu_closed chess.dat 1200 16.19 16.16 0.03 3732351015 18149947 1256 1892002
DCI-Closed_closed pumsb.dat 37500 1.35 1.23 0.12 5311164 3349450 1336 75002
MAFIA_all pumsb.dat 22500 820.20 818.22 1.79 119173788 12836488 664 1
fp-zhu_closed chess.dat 2000 0.42 0.41 0.01 34367186 1310093 1128 68967
apriori-borgelt_maximal bms2.dat 20 5.55 5.42 0.11 52118969 49213853 1640 30405
LCM_closed chess.dat 3000 0.02 0.01 0.00 397756 270220 1040 137
eclat-borgelt_closed retail.dat 200 2.50 2.42 0.05 11886658 7552470 608 2192
LCM_closed bms1.dat 40 0.25 0.21 0.03 27234294 3229626 8896 29490
aim_all pumsb.dat 40000 1.53 1.34 0.05 13685020 7837872 1816 79814
aim_all accidents.dat 102000 7.11 6.81 0.12 58176672 30815852 2040 149957
fp-zhu_all bmspos.dat 1000 4.95 4.82 0.08 49006132 36960448 616 58981
apriori-borgelt_closed pumsb-star.dat 22500 1.55 1.48 0.06 10973137 10972773 2152 560
ABS_maximal connect.dat 65000 1.21 1.07 0.05 12346637 12336557 1576 50
fpgrowth-tiny_all chess.dat 1000 249.78 234.96 14.61 2825086596 1659032 12280 29442849
eclat-lst_all mushroom.dat 400 2.61 2.51 0.03 42051660 9487992 696 3771728
eclat-borgelt_all bms2.dat 80 2.19 2.14 0.02 17953918 4654022 924 43352
eclat-borgelt_all bms2.dat 40 3.87 3.86 0.02 40655078 5388546 1244 217942
MAFIA_all mushroom.dat 300 19.02 18.94 0.03 14482772 12190892 664 1
eclat-borgelt_closed mushroom.dat 1500 0.16 0.17 0.00 30205352 871640 1244 1421
ct-pro_all connect.dat 45000 21.76 20.70 0.96 149604408 149290608 2200 7457664
ct-pro_all bms1.dat 40 0.60 0.53 0.04 13268728 10182784 2200 48544
apriori-borgelt_all bmspos.dat 700 24.49 21.73 1.76 40187384 40187020 872 126120
LCM_closed mushroom.dat 400 0.47 0.28 0.06 28442996 2601448 1568 13131
LCM_closed retail.dat 5 4.19 2.76 0.15 145027674 15557770 8896 504147
fp-zhu_all bms1.dat 80 0.94 0.16 0.01 2383608 2327956 408 1863
eclat-borgelt_all chess.dat 3000 0.05 0.04 0.00 548992 516064 524 156
kDCI_all bms2.dat 60 0.74 0.66 0.06 23874826 22507570 1352 1
DCI-Closed_closed bmspos.dat 1000 6.47 6.31 0.14 28754126 24841802 1464 29493
eclat-borgelt_maximal pumsb-star.dat 15000 4.20 4.09 0.03 1156786046 10835686 1324 315
apriori-bodon_all bms2.dat 60 2.06 2.05 0.02 9179020 6829276 3452 93254
eclat-borgelt_maximal pumsb-star.dat 12500 15.71 15.69 0.03 5445133958 10872550 1484 693
fp-zhu_closed accidents.dat 238000 3.24 2.90 0.10 1026308 819436 808 531
fpgrowth-tiny_all pumsb-star.dat 22500 2.07 1.93 0.06 59246644 1588208 9208 1538
kDCI_all chess.dat 800 173.63 170.82 2.56 1337723429 702386068 1320 1
MAFIA_maximal accidents.dat 204000 4.21 4.15 0.06 230687228 14018676 1464 0
DCI-Closed_closed bms2.dat 40 1.69 1.57 0.07 36730678 33445878 1464 74393
DCI-Closed_closed webdocs.dat 200000 150.42 106.92 13.61 217886468 130713418 1464 22
apriori-borgelt_maximal bms1.dat 100 0.20 0.15 0.02 1888198 1887834 8360 670
MAFIA_maximal pumsb-star.dat 17500 1.11 1.08 0.03 59534740 12743148 1592 0
MAFIA_all mushroom.dat 1000 0.55 0.46 0.03 14346520 12131680 664 1
fp-zhu_maximal retail.dat 100 1.97 1.87 0.07 30339101 17815445 552 2962
ct-pro_all bms1.dat 36 2.62 2.56 0.06 22125622 18905602 2200 461522
